Page,Index,Title,DOI,PDFLink,Downloaded
1,0,0.18um low voltage 12-bit successive-approximation-register analog-to-digital converter (SAR ADC),10.1109/ASQED.2011.6111760,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6111760,1
1,1,Design of power efficient hybrid flash-successive approximation register analog to digital converter,10.1109/ICCSP.2017.8286400,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8286400,1
1,2,Power and Bandwidth Scalable 10-b 30-MS/s SAR ADC,10.1109/TVLSI.2014.2331354,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6849464,1
1,3,Design of a SystemVerilog-Based Sigma-Delta ADC Real Number Model,10.1109/DSD.2019.00028,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8875137,1
1,4,A 10-bit 30MS/s Subranging SAR ADC with a Triple Reference Voltage Technique,10.1109/IS3C50286.2020.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9394058,1
1,5,SOPC based sigma delta ADC IP core for smart energy meter,10.1109/ICCS1.2017.8325979,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8325979,1
1,6,Effect of impedance of reference source on successive approximation ADC dynamic performance,10.1109/SIBCON.2017.7998515,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7998515,1
1,7,Analysis of Timing Error Aperture Jitter on the Performance of Sigma Delta ADC for Software Radio Mobile Receivers,10.1109/ARTCom.2009.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5329250,1
1,8,Predictive LSB-First Successive Approximation for SAR Analog-to-Digital Converters,10.1109/MWSCAS57524.2023.10406063,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10406063,1
1,9,Design of 10b SAR ADC for biomedical applications,10.1109/ECS.2015.7124908,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7124908,1
1,10,Uniform Quantization Theory-Based Linearity Calibration for Split Capacitive DAC in an SAR ADC,10.1109/TVLSI.2015.2509164,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7373671,1
1,11,A 12-Bit 33-mW and 96-MHz Discrete-Time Sigma Delta ADC in 130 nm CMOS Technology,10.1109/ISEE2.2019.8920904,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8920904,1
1,12,A 1.4mW Sigma Delta ADC with Configurable Filter for Sensor Applications,10.1109/ICUFN57995.2023.10200609,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10200609,1
1,13,IRD Digital Background Calibration of SAR ADC With Coarse Reference ADC Acceleration,10.1109/TCSII.2013.2291051,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6678701,1
1,14,A 430-MS/s 7-b Asynchronous SAR ADC With a 40 fF Input Sampling Capacitor,10.1109/ISOCC56007.2022.10031358,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10031358,1
1,15,An 8-bit 800-$muhboxW$1.23-MS/s Successive Approximation ADC in SOI CMOS,10.1109/TCSII.2006.880021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1705054,1
1,16,Correction Methods of the Magnitude Response of the Power Quality Measurement Channel Containing a Sigma-Delta ADC,10.1109/INDEL50386.2020.9266152,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9266152,1
1,17,A Distortion Cancelation Technique With the Recursive DFT Method for Successive Approximation Analog-to-Digital Converters,10.1109/TCSII.2015.2468918,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7202812,1
1,18,A Bit Cycling Method for Improving the DNL/INL in Successive Approximation Register (SAR) Analog-to-Digital Converter (ADC),10.1109/NGCAS.2018.8572141,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8572141,1
1,19,Analysis and Design of Sigma-Delta ADCs for Automotive Control Systems,10.1109/ICCS52645.2021.9697210,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9697210,1
1,20,A 9-bit 80 MS/s Successive Approximation Register Analog-to-Digital Converter With a Capacitor Reduction Technique,10.1109/TCSII.2010.2048387,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5504837,1
1,21,Design of binary architecture for Successive Approximation Analog-to-Digital Converter,10.1109/ICCSP.2015.7322537,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7322537,1
1,22,Elimination of analog switches in low-bit successive approximation ADCs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5733855,1
1,23,Design of up-down counter as SAR logic for high speed SAR ADC used in health care system,10.1109/CASP.2016.7746216,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7746216,1
