Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Ku-band differential lossy filter manufactured in thin-film on alumina technology,10.1109/IMFW49589.2021.9642377,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9642377,1
1,1,An Integrated Passive Device RF Front-End for Narrow-Band Internet-of-Things Modules,10.1109/IMFW49589.2021.9642339,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9642339,1
1,2,Planar and Low-consumption Switchable Filter Banks with Tunable Passband and Stopband Responses,10.1109/IMFW49589.2021.9642281,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9642281,1
1,3,Digital-Filter-Based Flat-Group-Delay RF Analog Circuits: Application to Dolph-Chebyshev Windows,10.1109/TCSII.2023.3344678,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10365555,1
1,4,Discrete-time Decimation filter Design for Multistandard RF Sub-sampling Receiver,10.1109/ICECS.2007.4511260,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4511260,1
1,5,High-Resolution Tunable Microwave Filter Using Hybrid Analog-Digital Controls via an Acoustooptic Tunable Filter and Digital Micromirror Device,10.1109/JLT.2008.925045,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4738498,1
1,6,Compact fully reconfigurable multi-stage RF photonic filters using high-Q silicon microdisk resonators,10.1109/GROUP4.2010.5643322,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5643322,1
1,7,An Analog Baseband Spectrum Sensing Circuit Employing Voltage Follower-Based Multiorder Channel Selection Filters,10.1109/TCSII.2022.3202218,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9868828,1
1,8,Frequency-Transformation-Based Co-Designed Lowpass-Single/Multi-Passband-Highpass RF Filters,10.1109/TCSI.2024.3382094,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10493860,1
1,9,Efficient Halfband FIR Filter Structures for RF and IF Data Converters,10.1109/TCSII.2015.2468932,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7202882,1
1,10,Design of Coupled-Resonator Filtering Network With Asymmetric Arbitrary Group-Delay Response and Frequency-Variant Coupling,10.1109/IMFW49589.2021.9642355,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9642355,1
1,11,All-Pass Second-Order Active RC-Filter with Pole Q-Factor's Independent Adjustment on Differential Difference Amplifiers,10.1109/EWDTS.2019.8884395,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8884395,1
1,12,Lumped-element RF analog multi-band bandpass filter concept for software-defined-radio architectures,10.1109/NEWCAS.2017.8010115,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8010115,1
1,13,An Anti-Aliasing Filter with a Programmable Bandwidth of 10–500MHz for Supply Modulator,10.1109/ISCAS.2018.8350991,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8350991,1
1,14,Flat-Group-Delay RF Planar Filters With Transmission Zeros Using Transversal Circuits,10.1109/TCSI.2023.3298219,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10199152,1
1,15,On the Synthesis of Lossy Analog Filter Networks With Lossless-Like Passband Shape,10.1109/NEWCAS57931.2023.10198147,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10198147,1
1,16,Fully reconfigurable compact RF photonic filters using high-Q silicon microdisk resonators,10.1109/PHOTONICS.2010.5698846,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5698846,1
1,17,Fully reconfigurable compact RF photonic filters using high-Q silicon microdisk resonators,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5875448,1
