Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Parallel Computations Based on Analogue Principles,10.1109/UKSIM.2009.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4809747,1
1,1,Addition related arithmetic operations via controlled transport of charge,10.1109/TC.2005.40,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1388190,1
1,2,Fast CMOS Analog Multiplier and Divider With Continuous-Time Inverter-Based Flash Digitizer,10.1109/TCSII.2021.3134415,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9646238,1
1,3,Design and Development of Reliable Low Power High Speed 4-Bit Array Multiplier using High Performance 1-Bit Full Adders,10.1109/5NANO53044.2022.9828873,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9828873,1
1,4,Analysis of Memristor Based Analog Circuits for Improved Efficiency,10.1109/ICCCI56745.2023.10128244,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10128244,1
1,5,A 4-Bits CSA Adder Using the Arithmetic A2 Redundant Binary Representation for Mixed Neural Networks with On-Chip Learning,10.1109/CISIM.2008.18,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4557841,1
1,6,A Second-Order  $\Delta\Sigma$  Time-to-Digital Converter Using Highly Digital Time-Domain Arithmetic Circuits,10.1109/TCSII.2019.2925860,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8752098,1
1,7,A robust offset cancellation scheme for analog multipliers [utilises digital integrator],10.1109/ICECS.2004.1399684,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1399684,1
1,8,Towards a Ternary Sigma-Delta Modulated Processor: Adder and Integrator,10.1109/CIT.2008.Workshops.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4568556,1
1,9,A radio-frequency real-time spectrum sensor based on an analog signal processing magnitude calculator,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8088387,1
1,10,Digital realization of analogue computing elements using bit streams,10.1109/IWSOC.2003.1213009,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1213009,1
1,11,16-bit Binary Multiplication Using High Radix Analog Digits,10.1109/ACSSC.2006.354762,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4176572,1
1,12,An Optical Parallel Multiplier Using Nanophotonic Analog Adders and Optoelectronic Analog-to-Digital Converters,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8427307,1
1,13,Mixed-signal CVNS adder for two-operand binary addition,10.1109/EIT.2009.5189616,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5189616,1
1,14,A CMOS third order ΔΣ modulator with inverter-based integrators,10.1109/SOCC.2017.8226025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8226025,1
1,15,Analysis of CMOS Full Adder Circuits for Multiplier Logic Architectures,10.1109/ICDCOT61034.2024.10515488,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10515488,1
1,16,Design of Combinational Arithmetic Circuits using Quantum Dot Cellular Automata,10.1109/ICOEI51242.2021.9453069,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9453069,1
1,17,CMOS Gilbert Mutiplier for Analog Signal Processing and its FPAA Based Implementation,10.1109/ICACCT.2018.8529653,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8529653,1
1,18,A simple 4 quadrant NMOS analog multiplier with input range equal to ±VDD and very low THD,10.1109/EIT.2008.4554281,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4554281,1
1,19,Design of Low Power 4-Bit Baugh-Wooley Multiplier using 1-Bit Mirror and Approximate Full Adders,10.1109/ASIANCON55314.2022.9908919,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9908919,1
1,20,A New Approach to Optimize the Defuzzification Unit of Fuzzy Systems,10.1109/IranianCEE.2019.8786479,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8786479,1
