Page,Index,Title,DOI,PDFLink,Downloaded
1,0,An Analog-Assisted Tri-Loop Digital Low-Dropout Regulator,10.1109/JSSC.2017.2751512,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8054693,1
1,1,Review of Analog-Assisted-Digital and Digital-Assisted-Analog Low Dropout Regulators,10.1109/TCSII.2020.3040393,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9270575,1
1,2,A Fast Response Digital Low-Dropout Regulator Based on Enhanced Analog Assisted Loop,10.1109/ICTA50426.2020.9332011,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9332011,1
1,3,PID Control Considerations for Analog-Digital Hybrid Low-Dropout Regulators (Invited Paper),10.1109/EDSSC.2019.8754302,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8754302,1
1,4,Design of low-power analog drivers based on slew-rate enhancement circuits for CMOS low-dropout regulators,10.1109/TCSII.2005.850781,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1510878,1
1,5,A Current Efficient 10mA Analog-Assisted Digital Low Dropout Regulator with Dynamic Clock Frequency in 65nm CMOS,10.1109/ISCAS45731.2020.9180860,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9180860,1
1,6,A Switchable Digital–Analog Low-Dropout Regulator for Analog Dynamic Voltage Scaling Technique,10.1109/JSSC.2013.2297395,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6714547,1
1,7,A programmable low dropout regulator for delay correction network in DPWM,10.1109/ICRITO.2015.7359345,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7359345,1
1,8,Experimental behavior of Line-TFET applied to Low-Dropout Voltage Regulator,10.1109/SBMICRO55822.2022.9881041,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9881041,1
1,9,A Low-Dropout Regulator With Tail Current Control for DPWM Clock Correction,10.1109/TCSII.2011.2177703,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6107568,1
1,10,A Capacitor-Less Digital Low-Dropout Regulator With Self-Clocked Operation,10.1109/TCSII.2023.3277976,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10130075,1
1,11,A Sub-1V Analog-Assisted Inverter-Based Digital Low-Dropout Regulator with a Fast Response Time at 25mA/100ps and 99.4% Current Efficiency,10.1109/CICC.2019.8780173,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8780173,1
1,12,An Overview of Digital Low Drop-out Regulator Design,10.1109/APCCAS.2018.8605699,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8605699,1
1,13,A low dropout regulator with PSR under −48dB up to 20GHz for a SARADC reference buffer,10.1109/MWSCAS54063.2022.9859364,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9859364,1
1,14,An Area-Efficient Current Quantization Circuit Inspired by Digital Low-Dropout Regulators,10.1109/CICTA.2018.8706093,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8706093,1
1,15,A Digital LDO in 22-nm CMOS With a 4-b Self-Triggered Binary Search Windowed Flash ADC Featuring Analog Layout Generator Framework,10.1109/LSSC.2023.3265956,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10097870,1
1,16,A Transient-Enhanced Digital Low-Dropout Regulator with Bisection Method Tuning,10.1109/APCCAS.2018.8605667,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8605667,1
1,17,Scalable All-Analog LDOs With Reduced Input Offset Variability Using Digital Synthesis Flow in 65-nm CMOS,10.1109/TVLSI.2023.3328978,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10314489,1
1,18,Design of Low Dropout Voltage Regulator for Battery Operated Devices,10.1109/INDICON45594.2018.8986999,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986999,1
1,19,Power Efficient Analog-Assisted Digital Voltage Regulator for Implantable Medical Devices,10.1109/LASCAS60203.2024.10506156,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10506156,1
1,20,Cryogenic Low-Drop-Out Regulators Fully Integrated with Quantum Dot Array in 22-nm FD-SOI CMOS,10.1109/IMS19712.2021.9574910,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9574910,1
