Page,Index,Title,DOI,PDFLink,Downloaded
1,0,R-2R ladder circuit design for 32-bit digital-to-analog converter (DAC) with noise analysis and performance parameters,10.1109/ICCSP.2016.7754180,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7754180,0
1,1,Digital Background Calibration for Binary DACs in Continuous Time Delta Sigma Modulators,10.1109/IranianCEE.2019.8786483,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8786483,0
1,2,An Efficient and Low Power 45nm CMOS Based R-2R DAC,10.1109/INCET57972.2023.10170648,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10170648,0
1,3,Detection of Catastrophic Faults in 6-Bit R-2R Ladder DAC,10.1109/ICEEIE59078.2023.10334914,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10334914,0
1,4,Multi-bit Quantizer Delta-Sigma Modulator with the Feedback DAC Mismatch Error Shaping,10.1109/IranianCEE.2019.8786758,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8786758,0
1,5,A Design of 14-bits ADC and DAC for CODEC Applications in 0.18 µm CMOS Process,10.1109/DELTA.2008.124,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4459499,0
1,6,Direct Digital Frequency Synthesizer Modeling with a Re-configurable DAC Evaluation for Electrochemical Impedance Spectroscopy,10.1109/SENSORS52175.2022.9967147,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9967147,0
1,7,Design of a delta-sigma (Δ-Σ) Based Digital-to-Analog Converter for TETRA-2 transmitter,10.1109/IMTC.2010.5488296,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5488296,0
1,8,International Conference on Analogue to Digital and Digital to Analogue Conversion (Conf. Publ. No.343),,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=151966,0
1,9,A 2-MHz BW 82-dB DR Continuous-Time Delta–Sigma Modulator With a Capacitor-Based Voltage DAC for ELD Compensation,10.1109/TVLSI.2018.2841058,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8374990,0
1,10,A Cryo-CMOS 20-Bit R-2R Ladder DAC for the Manipulation of Silicon and Carbon Nanotube Qubits,10.1109/IMWS-AMP57814.2023.10381481,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10381481,0
1,11,A Correlation-Based Background Error Estimation Technique for Bandpass Delta–Sigma ADC DACs,10.1109/TCSII.2011.2168021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6082415,0
1,12,First-order Continuous Time Delta-sigma Modulator with 3-bit SAR ADC and PNM DAC,10.1109/ISOCC59558.2023.10396178,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10396178,0
1,13,A 4 bit 5GHz R-2R Digital to Analog Converter using hetrojunction HEMT,10.1109/C2SPCA.2013.6749415,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6749415,0
1,14,A 350-MS/s Continuous-Time Delta–Sigma Modulator With a Digitally Assisted Binary-DAC and a 5-Bits Two-Step-ADC Quantizer in 130-nm CMOS,10.1109/TVLSI.2014.2352463,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6898830,0
1,15,A 28-nm 6-GHz 2-bit Continuous-Time ΔΣ ADC With −101-dBc THD and 120-MHz Bandwidth Using Blind Digital DAC Error Correction,10.1109/JSSC.2022.3202977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9894444,0
1,16,A 12 Bit R-2R Digital-to-Analog Converter for Shuttling Operation in a Trapped-Ion Quantum Computer,10.1109/BCICTS54660.2023.10310675,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10310675,0
1,17,Enhancing resolution of delta sigma modulator using 1-bit adaptive DAC,10.1109/ISOCC.2013.6863992,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6863992,0
1,18,A design of 14-bits ΣΔ ADC and DAC for CODEC applications in 0.18 μm CMOS process,10.1109/RFIT.2007.4443927,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4443927,0
1,19,Effect of Clock Duty-Cycle Error on Two-Channel Interleaved  $\Delta\Sigma$ DACs,10.1109/TCSII.2015.2415691,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7065319,0
1,20,Multibit Delta-Sigma Modulator With Two-Step Quantization and Segmented DAC,10.1109/TCSII.2006.881825,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1705052,0
1,21,A First-Order Tree-Structured DAC With Reduced Signal-Band Noise,10.1109/TCSII.2007.892397,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4182501,0
1,22,A BIST scheme based on resistance match for current-mode R-2R ladder Digital-to-Analog Converter,10.1109/ICCRD.2011.5764201,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5764201,0
1,23,Efficient Calibration of Feedback DAC in Delta Sigma Modulators,10.1109/TCSII.2020.2984025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9050628,0
1,24,On matching properties of R-2R ladders in high performance digital-to-analog converters,10.1109/IRANIANCEE.2010.5507030,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5507030,0
1,25,A novel noise-shaping DAC for multi-bit sigma-delta modulator,10.1109/TCSII.2006.869920,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1632341,0
1,26,A CT DSM with DAC Scaling Technique for Direct Neural Recording Front-End,10.1109/ASICON58565.2023.10396405,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10396405,0
