Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Improvement of the Gain Accuracy of the Instrumentation Amplifier Using a Very High Gain Operational Amplifier,10.1109/DEVIC.2019.8783414,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8783414,1
1,1,Yokto (10-24V) Instrumentation Amplifier,10.1109/ICCCT.2012.31,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6394679,1
1,2,Emulation of a Multi-Stage Differential Amplifier Using one Single-Ended Device-Under-Test,10.1109/ARFTG49670.2021.9425107,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9425107,1
1,3,Differential Voltage Current Conveyor Transconductance Amplifier based instrumentation amplifier,10.1109/ICPEICES.2016.7853350,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7853350,1
1,4,A high gain and low-offset current-mode instrumentation amplifier using differential difference current conveyors,10.1109/ICECS.2015.7440251,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7440251,1
1,5,Test Bench for Biopotential Instrumentation Amplifier using Single-Ended to Differential Amplifiers,10.1109/ICMTS55420.2023.10094130,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10094130,1
1,6,Stability Analysis of On-Chip Multi-Stage RF Power Amplifiers,10.1109/RFIC.2007.380926,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4266474,1
1,7,"High CMRR, Low Power and Wideband Current-Mode Instrumentation Amplifier",10.1109/NORCHP.2006.329258,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4126961,1
1,8,High Gain and High Bandwidth Fully Differential Difference Amplifier as Current Sense Amplifier,10.1109/TIM.2020.3018830,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9177098,1
1,9,Design of CMOS instrumentation amplifier with improved gain & CMRR for low power sensor applications,10.1109/NGCT.2016.7877392,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7877392,1
1,10,Single-ended Input to Differential Output Circuits. A Comparative Analysis,10.1109/IMTC.2006.328587,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4124386,1
1,11,Electronically tunable gain instrumentation amplifier using OTAs,10.1109/ICCAS.2008.4694395,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4694395,1
1,12,Lock-in amplifier techniques for low-frequency modulated sensor applications,10.1109/I2MTC.2012.6229510,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6229510,1
1,13,Two-Stage Differential Charge and Transresistance Amplifiers,10.1109/IMTC.2006.328312,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4124687,1
1,14,Non-linearity in high gain CMOS buffer amplifiers for CCD processor applications,10.1109/IMTC.2007.379450,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4258309,1
1,15,DC offset voltage reduction in cascaded instrumentation amplifier,10.1109/SCES.2013.6547579,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6547579,1
