Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Design of a Low-Dropout Linear Regulator,10.1109/ICAIIS49377.2020.9194883,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9194883,1
1,1,Optimized Slew Rate Control Technique for Automotive Low-Dropout Linear Voltage Regulators Simulation Models,10.1109/ECAI54874.2022.9847436,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9847436,1
1,2,A High PSRR Low Drop-out Linear Regulator without Output Capacitor,10.1109/EDSSC.2018.8487175,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8487175,1
1,3,Cascoded OTA based low dropout (LDO) voltage regulator,10.1109/ETFA.2014.7005343,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7005343,1
1,4,"Exploration and evaluation of low-dropout linear voltage regulator with FinFET, TFET and hybrid TFET-FinFET implementations",10.1109/ISCAS.2017.8051018,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8051018,1
1,5,Black-box modeling of low dropout voltage regulator based on two-port network parameter identification,10.1109/CSPA.2015.7225622,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7225622,1
1,6,"Design of a 4.5-V, 450-mA low-dropout voltage linear regulator based on a cascoded OTA",10.1109/IECON.2013.6699480,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6699480,1
1,7,Total Dose Effects on Negative and Positive Low-Dropout Linear Regulators,10.1109/TNS.2020.2977296,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9018067,1
1,8,A Low-Dropout Linear Regulator with High Power Supply Rejection,10.1109/CISP-BMEI60920.2023.10373225,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10373225,1
1,9,Fully on chip low dropout (LDO) voltage regulator with improved transient response,10.1109/TENCON.2014.7022398,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7022398,1
1,10,Fractional Order Low–Dropout Voltage Regulator,10.1109/CICN.2016.24,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8082612,1
1,11,Design of current limiting circuit in low dropout linear voltage regulator,10.1109/APMC.2005.1606404,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1606404,1
