Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A Highly Linear Operational Transconductance Amplifier (OTA) with High Common Mode Rejection Ratio,10.1109/ICSAP.2010.39,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5432634,1
1,1,Slew-Rate Enhancement Circuit of CLASS AB Operational Transconductance Amplifier (OTA) by Auxiliary Circuit,10.1109/ICCS56666.2022.9936249,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936249,1
1,2,CMOS fully differential operational transconductance amplifier design for delta-sigma modulators,10.1109/SECON.2008.4494255,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4494255,1
1,3,Applications of operational transconductance amplifier in power system analog emulation,10.1109/ISCAS.2005.1465832,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1465832,1
1,4,A novel CMOS operational transconductance amplifier based on a mobility compensation technique,10.1109/TCSII.2004.839539,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1375056,1
1,5,Application of the PSO technique to the Optimization of CMOS Operational Transconductance Amplifiers,10.1109/DTIS.2010.5487582,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5487582,1
1,6,A CLASS AB Operational Transconductance Amplifier (OTA) with a Slew Rate Enhancement (SRE) Auxiliary Circuit,10.1109/ICCTIT60726.2023.10435939,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10435939,1
1,7,The Digital-Based Operational Transconductance Amplifier: Evolution and Perspective,10.1109/SBCCI62366.2024.10703999,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10703999,1
1,8,"Ultra low-voltage, rail-to-rail input/output stage Operational Transconductance Amplifier (OTA) with high linearity and its application in a Gm-C filter",10.1109/ISQED.2010.5450424,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5450424,1
1,9,A Simple Macromodel Circuit for Operational Transconductance Amplifier with Low Frequency OTA-C Filter Application,10.1109/ICECTA48151.2019.8959781,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8959781,1
1,10,An Ultra Low Power Low noise Operational Transconductance Amplifier for Biomedical Front-end Applications,10.1109/ICICT48043.2020.9112393,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9112393,1
1,11,A Simple and Accurate Track-and-Hold Circuit using Operational Transconductance Amplifier,10.1109/MIXDES.2007.4286153,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4286153,1
1,12,Analog field programmable CMOS Operational Transconductance Amplifier (OTA),10.1109/ICETACS.2013.6691417,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6691417,1
1,13,Operational transconductance amplifier and state machine for photonics control system for tunable filter,10.1109/SBMicro.2017.8113027,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8113027,1
1,14,A CMOS fully differential operational transconductance amplifier operating in sub-threshold region and its application,10.1109/ICSPS.2010.5555220,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5555220,1
1,15,Operational Transconductance Amplifier (OTA) based Schmitt Trigger without passive elements,10.1109/ASPCON49795.2020.9276671,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9276671,1
1,16,Performance analysis of operational transconductance amplifier at 180nm technology,10.1109/CIPECH.2016.7918781,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7918781,1
1,17,A novel Operational Transconductance Amplifier with high Gm using improved differential current redistribution technique (DCRT),10.1109/ASICON.2013.6812053,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6812053,1
1,18,Design and Performance Analysis of Operational Transconductance Amplifier Using FinFET,10.1109/CONFLUENCE.2018.8442585,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8442585,1
1,19,A Low Power CMOS Operational Transconductance Amplifier with Improved CMRR,10.1109/ICM50269.2020.9331501,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9331501,1
1,20,High performance CMOS low power/low voltage operational transconductance amplifier,10.1109/ICECCT.2015.7226203,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7226203,1
1,21,A Simulative Study on Operational Transconductance Amplifiers in CMOS Technology,10.1109/PICC57976.2023.10142743,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10142743,1
1,22,An Ultra-Low-Voltage Ultra-Low-Power CMOS Miller OTA With Rail-to-Rail Input/Output Swing,10.1109/TCSII.2007.902216,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4349224,1
