Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A comparative study on low noise precision difet operational amplifier and low noise operational amplifier for potentiometric transduction circuit,10.1109/BEIAC.2013.6560196,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6560196,1
1,1,Design and Analysis of Two-Stage CMOS Operational Amplifier for Fluorescence Signal Processing,10.1109/ICISCE50968.2020.00460,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9532225,1
1,2,Low-Power Class-AB CMOS Voltage Feedback Current Operational Amplifier With Tunable Gain and Bandwidth,10.1109/TCSII.2014.2327390,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6823147,1
1,3,Two-stage operational amplifier with Class A and B output stage,10.1109/IAECST54258.2021.9695771,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9695771,1
1,4,A Fully Differential Switched Capacitor Amplifier with a Two-Stage Folded-Mesh Class AB Operational Amplifier in a 22 nm FD-SOI CMOS Process,10.1109/ISOCC56007.2022.10031556,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10031556,1
1,5,Slew-Rate Enhancement Circuit of CLASS AB Operational Transconductance Amplifier (OTA) by Auxiliary Circuit,10.1109/ICCS56666.2022.9936249,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936249,1
1,6,CMOS class-AB tunable voltage-feedback current operational amplifier,10.1109/ICECS.2014.7049941,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7049941,1
1,7,Chopper-Stabilized Low-Noise Multipath Operational Amplifier With Dual Ripple Rejection Loops,10.1109/TCSII.2020.2977664,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9022954,1
1,8,Design High gain dual stage operational amplifier using CMOS 45nm Technology,10.1109/I-SMAC49090.2020.9243590,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9243590,1
1,9,Sensitive analysis of EMI effect in the μA741 operational amplifier circuit,10.1109/QR2MSE.2013.6625762,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6625762,1
1,10,Efficient High-Gain Operational Amplifier Design for Σ-Δ ADCs in VLSI,10.1109/INCOFT60753.2023.10425580,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10425580,1
1,11,Macromodeling of operational amplifiers for sound effect circuit design,10.1109/IMFEDK.2014.6867058,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6867058,1
1,12,Study of a Self Biased High Swing Cascode Current Mirror Based Folded Cascode Operational Amplifier,10.1109/ISCON47742.2019.9036217,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9036217,1
1,13,Zero level of BiJFet-differential difference operational amplifiers and methods of its decrease in conditions of low temperatures and radiation effect,10.1109/ICSES.2016.7593836,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7593836,1
1,14,The method of the errors calculation from the input common-mode signal in the analog interfaces based on the differential difference operational amplifiers and the ways of their decrease,10.1109/SIBCON.2016.7491789,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7491789,1
1,15,Electrically Small Antenna with Embedded Operational Amplifier Circuit Surpasses the Passive Upper Bound of the Gain-Bandwidth Product,10.23919/EuCAP53622.2022.9769444,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9769444,1
1,16,Current Feedback Operational Amplifier Based Active Filter Configuration,10.1109/PIECON56912.2023.10085912,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10085912,1
1,17,Design of Ultra-Low Voltage Operational Amplifier Using 0.12 μm Technology,10.1109/ICIEA58696.2023.10241473,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10241473,1
1,18,Three stage low noise operational amplifier design for a 0.18 um CMOS process,10.1109/ICEEE.2012.6421117,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6421117,1
1,19,Design Procedure for a Folded-Cascode and Class AB Two-Stage CMOS Operational Amplifier,10.1109/ICIASE45644.2019.9074153,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9074153,1
