Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Automatic Voltage Regulator Design Using Particle Swarm Optimization Technique,10.1109/ICEE49691.2020.9249789,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9249789,1
1,1,Transformerless step up alternating voltage regulators with sinusoidal currents,10.1109/EDM.2012.6310252,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6310252,1
1,2,Single-Phase AC-AC Zeta Converter-Based Automatic AC Voltage Regulator,10.1109/STPES54845.2022.10006612,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10006612,1
1,3,A 0.2V-to-5V fully-integrated reconfigurable buck/boost switched-capacitor voltage regulator for self-powered wireless sensors,10.1109/DCIS.2017.8311640,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8311640,1
1,4,Transformerless Multichannel Step-up DC/DC Switching Voltage Regulator,10.1109/IEDS60447.2023.10426601,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10426601,1
1,5,Switching action delays in voltage regulator modules,10.1109/APEC.2002.989318,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=989318,1
1,6,A Fully Integrated 1 GHz 8A Imax Step-Down and Step-Up Switched Capacitor Voltage Regulator in 3 nm FinFET Technology Featuring Auto Mode Transition,10.1109/TCSI.2024.3374668,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10477169,1
1,7,Step-up AC Voltage Regulators with High-Frequency Link,10.1109/TPEL.2012.2197829,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195022,1
1,8,Control of high-step down voltage converters for voltage regulator modules,10.1109/ICEEE.2011.6106696,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6106696,1
1,9,A continuous switching mode step-down switched-capacitor regulator with inrush current control scheme,10.1109/ISICIR.2016.7829697,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7829697,1
1,10,A family of novel interleaved DC/DC converters for low-voltage high-current voltage regulator module applications,10.1109/PESC.2001.954332,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=954332,1
1,11,Switched-capacitor converter with low dropout voltage regulator for wireless sensor nodes,10.1109/TENCON.2012.6412294,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6412294,1
1,12,"1.5 MHz, 300 mA step-down switching regulator",10.1109/SOCDC.2008.4815744,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4815744,1
1,13,Design of power supply for portable acoustic shock acquisition system,10.1109/ICALIP.2016.7846569,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7846569,1
1,14,"Automatic Transfer Switch for Critical Loads Between Renewables, Storage, Mains, or Generator",10.1109/TPEC60005.2024.10472269,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10472269,1
1,15,Series-stacked medium voltage electronic voltage regulator,10.1109/ECCE.2011.6063895,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6063895,1
1,16,A Two-Stage Isolated High Step-Up Quasi-Resonant DC-DC Converter with Pre-Voltage Regulator,10.1109/IAS54023.2022.9939791,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9939791,1
1,17,TWO-STAGE VOLTAGE REGULATOR FED VOLTAGE CONTROL USING PIC MICRO CONTROLLER,10.1109/PECCON55017.2022.9851075,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9851075,1
1,18,An AC-to-AC converter based voltage regulator,10.1109/AFRCON.2002.1160002,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1160002,1
1,19,A Merged H-Bridge Based Switched Tank Converter for Front-End Voltage Regulator Modules,10.1109/ECCE47101.2021.9595976,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9595976,1
1,20,A novel high performance voltage regulator module,10.1109/APEC.2001.911657,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=911657,1
1,21,Microcontroller-based single-phase automatic voltage regulator,10.1109/ICCSIT.2010.5564979,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5564979,1
1,22,An integrated step-down DC-DC converter with low output voltage ripple,10.1109/ICIEA.2010.5514889,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5514889,1
1,23,Comparative Design of NMOS and PMOS Capacitor-less Low Dropout Voltage Regulators (LDOs) Suited for SoC Applications,10.1109/NRSC.2019.8734659,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8734659,1
1,24,High Precision Modeling of Saturable Transformers used as Voltage Regulators,10.1109/ISIE.2006.296038,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4078814,1
1,25,Three dual switching power supplies modules,10.1109/SMICND.2008.4703418,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4703418,1
1,26,High-Speed ZVS-ZCS Soft-Switching CMOS Bridge Drivers for a DC-DC Fully Integrated Voltage Regulator (FIVR) operating at 100-320MHz on 22nm process node,10.1109/APEC.2019.8722229,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722229,1
1,27,"Optimization of Single, Double and Triple Voltage Dc to Dc Step down Voltage Regulators",10.1109/ICECCT.2019.8869442,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8869442,1
1,28,Ultra-fast on-chip load-current adaptive linear regulator for switch mode power supply load transient enhancement,10.1109/APEC.2013.6520477,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6520477,1
1,29,The control unit of a single phase voltage regulator,10.1109/IECON.2010.5675034,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5675034,1
1,30,High performance voltage regulator for high step-down DC-DC conversion,10.1109/IECON.2008.4758049,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4758049,1
