Page,Index,Title,DOI,PDFLink,Downloaded
1,1,A CMOS 2.4 GHz RF transceiver for train safety monitoring systems,10.1109/APMC.2017.8251680,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8251680,1
1,2,Ultra-low power small size RF Transceiver module for 5G/LTE applications,10.1109/ICEEST48626.2019.8981698,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8981698,1
1,3,A low cost 24 GHz RF transceiver with four-RX and one-TX for radar sensor,10.1109/ISOCC.2015.7401730,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7401730,1
1,4,Digitally Intensive Mixed-Signal Approach for Self-Interference Cancellation in LTE-A/5G-Transceivers,10.1109/ISCAS51556.2021.9401650,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9401650,1
1,5,A Low Power Fully CMOS Integrated RF Transceiver IC for Wireless Sensor Networks,10.1109/TVLSI.2007.893586,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4142783,1
1,6,A 0.18-$\mu$ m CMOS RF Transceiver With Self-Detection and Calibration Functions for Bluetooth V2.1  ${+}$ EDR Applications,10.1109/TMTT.2010.2042908,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5438826,1
1,7,5G wireless LAN RF transceiver system design: a new optimization approach,10.1109/ICCS.2002.1183314,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183314,1
1,8,Adaptive Digital Front-End enhanced CMOS-based RF transceivers A brief overview,10.1109/INMMIC.2008.4745729,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4745729,1
1,9,Adaptive CMOS-based RF transceivers — State-of-the-art and future trends,10.1109/RFIT.2009.5383673,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5383673,1
1,10,A generic digital transceiver calibration module,10.1109/IMWS-AMP.2016.7588453,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7588453,1
1,11,A system-level alternate test approach for specification test of RF transceivers in loopback mode,10.1109/ICVD.2005.34,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1383290,1
1,12,A 4mW-RX 7mW-TX IEEE 802.11ah fully-integrated RF transceiver,10.1109/RFIC.2017.7969060,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7969060,1
1,13,An automatic DC-Offset cancellation method and circuit for RF transceivers,10.1109/ASICON.2015.7517123,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7517123,1
1,14,90GHz polarization-division duplex RF transceiver for multi-gigabit transmission,10.1109/EuMC.2014.6986582,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6986582,1
1,15,A fully integrated 2.4-GHz CMOS RF transceiver for IEEE 802.15.4,10.1109/RFIC.2006.1651136,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1651136,1
1,16,An Adaptive Machine Learning Based Approach for the Cancellation of Second-Order-Intermodulation Distortions in 4G/5G Transceivers,10.1109/VTCFall.2019.8891087,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8891087,1
1,17,Kernel Recursive Least Squares Algorithm for Transmitter-Induced Self-Interference Cancellation,10.1109/VTC2021-Spring51267.2021.9449025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9449025,1
1,18,A 0.5-V 1.56-mW 5.5-GHz RF transceiver IC module with J-shaped folded monopole antenna,10.1109/ISCAS.2015.7168859,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7168859,1
1,19,Methodology for improved event-driven system-level simulation of an RF transceiver subsystem for wireless SoCs,10.1109/DTIS.2018.8368550,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8368550,1
1,20,"A Programmable,Multimode Operational 3U-VPX Based Digital Transceiver & Processing Module For CIT-MKXIIA IFF",10.1109/ICONAT57137.2023.10080650,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10080650,1
1,21,RF transceiver requirements and architectures for TD-SCDMA UE,10.1109/ICMMT.2002.1187911,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1187911,1
1,22,An optical transceiver using offset sideband modulation,10.1109/MNRC.2008.4683386,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4683386,1
1,23,A Wideband Digitally Controllable RFIC with Gain and Wavelength Tunability and Built-in Self Test Functionalities for Optical Transceiver Modules in FTTx Applications,10.1109/RFIC.2019.8701779,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8701779,1
1,24,Mixed-Signal Based Enhanced Widely Linear Cancellation of Modulated Spur Interference in LTE-CA Transceivers,10.1109/ACSSC.2018.8645528,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8645528,1
1,25,An RF Transceiver with Full Digital Interface Supporting 5G New Radio FR1 with 3.84Gbps DL/1.92Gbps UL and Dual-Band GNSS in 14nm FinFET CMOS,10.1109/VLSICircuits18222.2020.9162850,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9162850,1
